contrato;obra;sequencia_do_trecho;rodovia;descricao_rodovia;descricao_trecho;km_inicial;km_final
9447043/2024;Obra 1;1;MG050 ;BETIM-DIVINÓPOLIS-FORMIGA-PASSOS-SÃO SEBASTIÃO DO PARAÍSO;;;
AMA-9441725/2024;Obra 1;1;LMG827;BR354-BAMBUÍ-MEDEIROS-PRATINHA-BR267;;0,0;107,0
AMA-9447965/2025;Obra 1;1;MG129 ;ITABIRA-SÃO GONÇALO DO RIO ABAIXO-SANTA BÁRBARA-MARIANA-CONSELHEIRO LAFAIETE;;;
AMA-9458828/2025;Obra 1;1;MG238 ;MARAVILHAS-INHAÚMA-SETE LAGOAS-JEQUITIBÁ;;;
DC-001/2022;Obra 1;1;CMG479;JANUÁRIA-CHAPADA GAUCHA-ARINOS-DIV MG/GO;;27,7;49,5
DC-001/2022;Obra 2;1;CMG479;JANUÁRIA-CHAPADA GAUCHA-ARINOS-DIV MG/GO;;3,8;27,7
DC-001/2023;Obra 1;1;MG437 ;NOVA LIMA-SABARÁ;;;
DC-002/2021;Obra 1;1;MG105 ;PEDRA AZUL-JOAÍMA-PAVÃO-CARLOS CHAGAS-BR418;;147,0;194,7
DC-002/2021;Obra 2;1;MG409 ;PAVÃO (MG105)-FREI GONZAGA-TOPÁZIO-BR116 (TEÓFILO OTONI);;0,0;77,3
DC-003/2023;Obra 1;1;MG060 ;VIANÓPOLIS-ESMERALDAS-POMPEU-ABAETÉ-SÃO G ABAETÉ-BR365;;;
DC-004/2022;Obra 1;1;MG167 ;SANTANA DA VARGEM-TRÊS PONTAS-VARGINHA-CAMBUQUIRA-BR267;;17,0;43,8
DC-004/2022;Obra 2;1;MG167 ;SANTANA DA VARGEM-TRÊS PONTAS-VARGINHA-CAMBUQUIRA-BR267;;17,0;43,8
DC-005/2023;Obra 1;2;BR262 ;DIV ES/MG-MANHUAÇU-JOÃO MONLEVADE-CAETÉ-SABARÁ-BELO HORIZONTE-ARAXÁ-UBERABA-FRUTAL-DIV MG/SP;;;
DC-005/2023;Obra 2;2;BR262 ;DIV ES/MG-MANHUAÇU-JOÃO MONLEVADE-CAETÉ-SABARÁ-BELO HORIZONTE-ARAXÁ-UBERABA-FRUTAL-DIV MG/SP;;;
DC-006/2022;Obra 1;1;LMG680;ENTRE RIBEIROS-ENTR LMG690 (P/BR040;;;
DC-006/2022;Obra 2;1;LMG680;ENTRE RIBEIROS-ENTR LMG690 (P/BR040;;;
DC-006/2022;Obra 3;1;LMG680;ENTRE RIBEIROS-ENTR LMG690 (P/BR040;;;
DC-006/2023;Obra 1;1;LMG869;ENTR LMG865 (USINA CORURIPE) - ENTR BR364 (CHAVESLÂNDIA);;;
DC-006/2023;Obra 2;1;LMG869;ENTR LMG865 (USINA CORURIPE) - ENTR BR364 (CHAVESLÂNDIA);;;
DC-007/2021;Obra 1;1;MG320 ;BR381 (CORONEL FABRICIANO)-MARLIÉRIA-BR262;;;
DC-007/2023;Obra 1;2;MG415 ;BIQUINHAS (MG060)-MORADA NOVA DE MINAS;;49,0;68,0
DC-007/2023;Obra 2;1;MG415 ;BIQUINHAS (MG060)-MORADA NOVA DE MINAS;;49,0;68,0
DC-008/2022;Obra 1;3;CMG479;JANUÁRIA-CHAPADA GAUCHA-ARINOS-DIV MG/GO;;3,8;27,7
DC-008/2022;Obra 1;4;CMG479;JANUÁRIA-CHAPADA GAUCHA-ARINOS-DIV MG/GO;;27,7;49,5
DC-008/2023;Obra 1;2;MG010 ;BELO HORIZONTE-VESPASIANO-LAGOA SANTA-CONCEIÇÃO DO MATO DENTRO-SERRO-SERRA AZUL DE MINASRIO VERMELHO;;210,8;224,3
DC-008/2023;Obra 2;1;AMG900;ACESSO;;0,0;4,5
DC-008/2023;Obra 3;1;MG010 ;BELO HORIZONTE-VESPASIANO-LAGOA SANTA-CONCEIÇÃO DO MATO DENTRO-SERRO-SERRA AZUL DE MINASRIO VERMELHO;;210,8;224,3
DC-009/2023;Obra 1;1;BR050 ;DIV GO/MG-UBERLÂNDIA-UBERABAUBERABA-DIV MG/SP;;22,1;36,3
DC-010/2023;Obra 1;2;LMG739;ENTR MG010 (CONCEIÇÃO DO MATO DENTRO) / CONGONHAS DO NORTE;;;
DC-012/2022;Obra 1;1;LMG631;SÃO JOÃO DA PONTE-CAPITÃO ENEIAS;;;
DC-013/2021;Obra 1;1;MG308 ;MONTES CLAROS-JURAMENTO-ITACAMBIRA-TURMALINA-CAPELINHA;;;
DC-014/2022;Obra 1;1;LMG631;SÃO JOÃO DA PONTE-CAPITÃO ENEIAS;;;
DC-015/2021;Obra 1;2;LMG698;CANABRAVA-SANTA LUZIA DO OESTE-ENTR MG181;;1,0;13,3
DC-015/2022;Obra 1;4;MG010 ;BELO HORIZONTE-VESPASIANO-LAGOA SANTA-CONCEIÇÃO DO MATO DENTRO-SERRO-SERRA AZUL DE MINASRIO VERMELHO;;228,8;229,55
DC-016/2022;Obra 1;2;MG414 ;ENGENHEIRO BETHOUT-ARAGUARI;;19,5;42,9
DC-016/2022;Obra 1;3;MG414 ;ENGENHEIRO BETHOUT-ARAGUARI;;18,0;19,5
DC-018/2021;Obra 1;1;LMG869;ENTR LMG865 (USINA CORURIPE) - ENTR BR364 (CHAVESLÂNDIA);;16,9;27,1
DC-018/2021;Obra 2;1;LMG869;ENTR LMG865 (USINA CORURIPE) - ENTR BR364 (CHAVESLÂNDIA);;7,9;16,9
DC-018/2021;Obra 3;1;LMG869;ENTR LMG865 (USINA CORURIPE) - ENTR BR364 (CHAVESLÂNDIA);;14,35;14,379
DC-018/2022;Obra 1;1;MG320 ;BR381 (CORONEL FABRICIANO)-MARLIÉRIA-BR262;;;
DC-018/2023;Obra 1;1;MG167 ;SANTANA DA VARGEM-TRÊS PONTAS-VARGINHA-CAMBUQUIRA-BR267;;;
DC-018/2023;Obra 2;1;MG167 ;SANTANA DA VARGEM-TRÊS PONTAS-VARGINHA-CAMBUQUIRA-BR267;;;
DC-019/2023;Obra 2;1;LMG698;CANABRAVA-SANTA LUZIA DO OESTE-ENTR MG181;;;
DC-019/2023;Obra 3;1;LMG662;ENTR LMG664 (P/BONFINÓPOLIS)-NATALÂNDIA-ENTR BR251(BOQUEIRÃO);;0,0;15,9
DC-020/2022;Obra 1;1;MG402 ;URUCUIA-SÃO FRANCISCO-BRASÍLIA DE MINAS;;;
DC-021/2022;Obra 1;1;MG437 ;NOVA LIMA-SABARÁ;;;
DC-022/2022;Obra 1;1;MG060 ;VIANÓPOLIS-ESMERALDAS-POMPEU-ABAETÉ-SÃO G ABAETÉ-BR365;;;
DC-022/2023;Obra 1;1;LMG680;ENTRE RIBEIROS-ENTR LMG690 (P/BR040;;;
DC-022/2023;Obra 2;1;LMG680;ENTRE RIBEIROS-ENTR LMG690 (P/BR040;;;
DC-024/2022;Obra 1;3;MG124 ;PIRANGA-SENADOR FIRMINO-DIVINÉSIA-UBÁ;;68,3;71,0
DC-027/2022;Obra 1;1;MG060 ;VIANÓPOLIS-ESMERALDAS-POMPEU-ABAETÉ-SÃO G ABAETÉ-BR365;;;
DC-028/2022;Obra 1;1;MG170 ;BR262-MOEMA-LAGOA DA PRATA-PIMENTA-ILICÍNEA-BR265;;;
DC-22.013/2020;Obra 1;1;LMG653;ENTR MGC135  (P/JANUÁRIA)-ENTR BR135  (P/BOCAIÚVA)-ENTR BR365 (P/PIRAPORA);;22,0;26,9
DC-22.017/2020;Obra 1;2;AMG900;ACESSO;CATAGUASES (ENTRº MG-447) - ENTRº BR-120;0,0;6,4
DC-22.018/2020;Obra 1;2;LMG503;ENTR BR050-ENTR BR497 ;;0,0;20,1
DC-22.018/2020;Obra 2;1;CMG455;UBERLÂNDIA-CAMPO FLORIDO-PIRAJUBA-DIV MG/SP (PLANURA);;8,22;8,22
DC-22.018/2020;Obra 2;2;CMG455;UBERLÂNDIA-CAMPO FLORIDO-PIRAJUBA-DIV MG/SP (PLANURA);;10,22;10,22
DC-22.018/2020;Obra 2;3;CMG455;UBERLÂNDIA-CAMPO FLORIDO-PIRAJUBA-DIV MG/SP (PLANURA);;15,4;15,4
DC-22.019/2020;Obra 1;1;MG135 ;BARBACENA-ANTÔNIO CARLOS-BIAS FORTES-BR267;;17,8;66,3
DC-22.020/2020;Obra 1;1;LMG853;CONTORNO DE SETE LAGOAS-ENTR BR040 A-ENTR BR040 B ;;0,0;3,3
DC-22.024/2020;Obra 1;1;MG431 ;SÃO JOSÉ DA VARGINHA-PARÁ DE MINAS-ITAÚNA-BR381(CARMÓPOLIS);;;
DC-9472752/2025;Obra 1;1;MG040 ;BELO HORIZONTE-BRUMADINHO-BONFIM-CRUCILANDIA-ITAGUARA;;;
DI-22.001/2020;Obra 1;4;AMG900;ACESSO;ENTR MG040 - ENTR  AV INHOTIM;0,0;2,9
DI-22.001/2020;Obra 2;1;AMG900;ACESSO;ENTR MG040 - ENTR  AV INHOTIM;2,26;2,5
DI-22.001/2020;Obra 3;1;AMG900;ACESSO;ENTR MG040 - ENTR  AV INHOTIM;2,58;2,58
DI-22.001/2020;Obra 4;1;AMG900;ACESSO;ENTR MG040 - ENTR  AV INHOTIM;0,24;0,278
DM-001/2021;Obra 1;1;MG111 ;IPANEMA-MANHUMIRIM-CARANGOLA-TOMBOS-DIV MG/RJ;;;
DM-001/2022;Obra 1;1;MG108 ;BR458-POCRANE-MUTUM-LAJINHA-MANHUMIRIM;;113,3;113,3
DM-001/2022;Obra 1;2;MG108 ;BR458-POCRANE-MUTUM-LAJINHA-MANHUMIRIM;;115,8;115,8
DM-001/2022;Obra 1;3;MG111 ;IPANEMA-MANHUMIRIM-CARANGOLA-TOMBOS-DIV MG/RJ;;53,0;53,0
DM-001/2023;Obra 1;1;CMG482;DIV ES/MG-ESPERA FELIZÍ-CARANGOLA-ARAPONGA-VIÇOSA-PIRANGA-ITAVERAVA-CONSELHEIRO LAFAIETE;;;
DM-002/2021;Obra 1;1;MG424 ;MG010-PEDRO LEOPOLDO-SETE LAGOAS (BR040);;41,5;41,5
DM-002/2022;Obra 1;2;LMG806;JUSTINÓPOLIS-RIBEIRÃO DAS NEVES-ENTR BR040;;1,3;8,9
DM-003/2022;Obra 1;1;LMG633;MG401 (JAÍBA)-MOCAMBINHO;;0,0;35,0
DM-003/2023;Obra 1;1;AMG900;ACESSO;;0,0;1,9
DM-003/2023;Obra 1;2;AMG900;ACESSO;;0,0;1,6
DM-003/2023;Obra 1;3;AMG900;ACESSO;;0,0;0,9
DM-003/2023;Obra 1;4;AMG900;ACESSO;;0,0;12,0
DM-003/2023;Obra 1;5;AMG900;ACESSO;;0,0;3,2
DM-003/2023;Obra 1;6;AMG900;ACESSO;;0,0;4,5
DM-003/2023;Obra 1;7;AMG900;ACESSO;;0,0;7,2
DM-003/2023;Obra 1;8;AMG900;ACESSO;;0,0;4,5
DM-003/2023;Obra 1;9;AMG900;ACESSO;;0,0;5,0
DM-003/2023;Obra 1;10;AMG900;ACESSO;;0,0;20,1
DM-003/2023;Obra 1;11;AMG900;ACESSO;;7,2;14,5
DM-003/2023;Obra 1;12;BR116 ;DIV BA/MG-TEÓFILO OTONI-GOVERNADOR VALADARES-REALEZA-DIV MG/RJ(ALÉM PARAÍBA);;495,7;530,1
DM-003/2023;Obra 1;13;BR116 ;DIV BA/MG-TEÓFILO OTONI-GOVERNADOR VALADARES-REALEZA-DIV MG/RJ(ALÉM PARAÍBA);;530,1;533,1
DM-003/2023;Obra 1;14;BR116 ;DIV BA/MG-TEÓFILO OTONI-GOVERNADOR VALADARES-REALEZA-DIV MG/RJ(ALÉM PARAÍBA);;533,1;536,2
DM-003/2023;Obra 1;15;BR116 ;DIV BA/MG-TEÓFILO OTONI-GOVERNADOR VALADARES-REALEZA-DIV MG/RJ(ALÉM PARAÍBA);;536,2;537,9
DM-003/2023;Obra 1;16;BR116 ;DIV BA/MG-TEÓFILO OTONI-GOVERNADOR VALADARES-REALEZA-DIV MG/RJ(ALÉM PARAÍBA);;537,9;571,8
DM-003/2023;Obra 1;17;BR116 ;DIV BA/MG-TEÓFILO OTONI-GOVERNADOR VALADARES-REALEZA-DIV MG/RJ(ALÉM PARAÍBA);;571,8;599,1
DM-003/2023;Obra 1;18;BR262 ;DIV ES/MG-MANHUAÇU-JOÃO MONLEVADE-CAETÉ-SABARÁ-BELO HORIZONTE-ARAXÁ-UBERABA-FRUTAL-DIV MG/SP;;148,2;172,5
DM-003/2023;Obra 1;19;BR262 ;DIV ES/MG-MANHUAÇU-JOÃO MONLEVADE-CAETÉ-SABARÁ-BELO HORIZONTE-ARAXÁ-UBERABA-FRUTAL-DIV MG/SP;;172,5;185,6
DM-003/2023;Obra 1;20;BR262 ;DIV ES/MG-MANHUAÇU-JOÃO MONLEVADE-CAETÉ-SABARÁ-BELO HORIZONTE-ARAXÁ-UBERABA-FRUTAL-DIV MG/SP;;185,6;196,8
DM-003/2023;Obra 1;21;BR381 ;DIV ES/MG (MANTENA)-DIVINO DAS LARANJEIRAS-GOVERNADOR  VALADARES-IPATINGA-JOÃO  MONLEVADE-BELO HORIZONTE-BETIM-POUSO ALEGRE-DIV MG/SP;;0,0;2,3
DM-003/2023;Obra 1;22;BR381 ;DIV ES/MG (MANTENA)-DIVINO DAS LARANJEIRAS-GOVERNADOR  VALADARES-IPATINGA-JOÃO  MONLEVADE-BELO HORIZONTE-BETIM-POUSO ALEGRE-DIV MG/SP;;2,3;8,6
DM-003/2023;Obra 1;23;BR381 ;DIV ES/MG (MANTENA)-DIVINO DAS LARANJEIRAS-GOVERNADOR  VALADARES-IPATINGA-JOÃO  MONLEVADE-BELO HORIZONTE-BETIM-POUSO ALEGRE-DIV MG/SP;;8,6;8,8
DM-003/2023;Obra 1;24;BR381 ;DIV ES/MG (MANTENA)-DIVINO DAS LARANJEIRAS-GOVERNADOR  VALADARES-IPATINGA-JOÃO  MONLEVADE-BELO HORIZONTE-BETIM-POUSO ALEGRE-DIV MG/SP;;8,8;15,0
DM-003/2023;Obra 1;25;BR381 ;DIV ES/MG (MANTENA)-DIVINO DAS LARANJEIRAS-GOVERNADOR  VALADARES-IPATINGA-JOÃO  MONLEVADE-BELO HORIZONTE-BETIM-POUSO ALEGRE-DIV MG/SP;;194,6;220,6
DM-003/2023;Obra 1;26;BR381 ;DIV ES/MG (MANTENA)-DIVINO DAS LARANJEIRAS-GOVERNADOR  VALADARES-IPATINGA-JOÃO  MONLEVADE-BELO HORIZONTE-BETIM-POUSO ALEGRE-DIV MG/SP;;220,6;244,8
DM-003/2023;Obra 1;27;BR381 ;DIV ES/MG (MANTENA)-DIVINO DAS LARANJEIRAS-GOVERNADOR  VALADARES-IPATINGA-JOÃO  MONLEVADE-BELO HORIZONTE-BETIM-POUSO ALEGRE-DIV MG/SP;;244,8;246,6
DM-003/2023;Obra 1;28;BR381 ;DIV ES/MG (MANTENA)-DIVINO DAS LARANJEIRAS-GOVERNADOR  VALADARES-IPATINGA-JOÃO  MONLEVADE-BELO HORIZONTE-BETIM-POUSO ALEGRE-DIV MG/SP;;246,6;262,0
DM-003/2023;Obra 1;29;BR381 ;DIV ES/MG (MANTENA)-DIVINO DAS LARANJEIRAS-GOVERNADOR  VALADARES-IPATINGA-JOÃO  MONLEVADE-BELO HORIZONTE-BETIM-POUSO ALEGRE-DIV MG/SP;;262,0;279,3
DM-003/2023;Obra 1;30;BR381 ;DIV ES/MG (MANTENA)-DIVINO DAS LARANJEIRAS-GOVERNADOR  VALADARES-IPATINGA-JOÃO  MONLEVADE-BELO HORIZONTE-BETIM-POUSO ALEGRE-DIV MG/SP;;279,3;317,4
DM-003/2023;Obra 1;31;BR381 ;DIV ES/MG (MANTENA)-DIVINO DAS LARANJEIRAS-GOVERNADOR  VALADARES-IPATINGA-JOÃO  MONLEVADE-BELO HORIZONTE-BETIM-POUSO ALEGRE-DIV MG/SP;;317,4;321,7
DM-003/2023;Obra 1;32;BR381 ;DIV ES/MG (MANTENA)-DIVINO DAS LARANJEIRAS-GOVERNADOR  VALADARES-IPATINGA-JOÃO  MONLEVADE-BELO HORIZONTE-BETIM-POUSO ALEGRE-DIV MG/SP;;322,0;342,5
DM-003/2023;Obra 1;33;BR458 ;CONSELHEIRO PENA-TARUMIRIM-TARUAÇU-IAPU-IPATINGA;;137,6;188,1
DM-003/2023;Obra 1;34;BR474 ;AIMORÉS-IPANEMA-PIEDADE DO CARATINGA-CARATINGA;;94,9;98,3
DM-003/2023;Obra 1;35;BR474 ;AIMORÉS-IPANEMA-PIEDADE DO CARATINGA-CARATINGA;;98,3;109,7
DM-003/2023;Obra 1;36;BR474 ;AIMORÉS-IPANEMA-PIEDADE DO CARATINGA-CARATINGA;;109,7;117,9
DM-003/2023;Obra 1;37;BR474 ;AIMORÉS-IPANEMA-PIEDADE DO CARATINGA-CARATINGA;;117,9;128,5
DM-003/2023;Obra 1;38;BR474 ;AIMORÉS-IPANEMA-PIEDADE DO CARATINGA-CARATINGA;;128,5;153,0
DM-003/2023;Obra 1;39;BR474 ;AIMORÉS-IPANEMA-PIEDADE DO CARATINGA-CARATINGA;;153,0;160,2
DM-003/2023;Obra 1;40;CMG120;ARAÇUAÍ-GUANHÃES-ITABIRA-VIÇOSA-UBÁ-CATAGUASES-LEOPOLDINA-DIV MG/RJ;;468,0;468,3
DM-003/2023;Obra 1;41;CMG120;ARAÇUAÍ-GUANHÃES-ITABIRA-VIÇOSA-UBÁ-CATAGUASES-LEOPOLDINA-DIV MG/RJ;;468,3;473,3
DM-003/2023;Obra 1;42;CMG120;ARAÇUAÍ-GUANHÃES-ITABIRA-VIÇOSA-UBÁ-CATAGUASES-LEOPOLDINA-DIV MG/RJ;;473,3;486,6
DM-003/2023;Obra 1;43;CMG120;ARAÇUAÍ-GUANHÃES-ITABIRA-VIÇOSA-UBÁ-CATAGUASES-LEOPOLDINA-DIV MG/RJ;;486,6;488,7
DM-003/2023;Obra 1;44;CMG120;ARAÇUAÍ-GUANHÃES-ITABIRA-VIÇOSA-UBÁ-CATAGUASES-LEOPOLDINA-DIV MG/RJ;;488,7;489,1
DM-003/2023;Obra 1;45;CMG120;ARAÇUAÍ-GUANHÃES-ITABIRA-VIÇOSA-UBÁ-CATAGUASES-LEOPOLDINA-DIV MG/RJ;;489,1;489,5
DM-003/2023;Obra 1;46;CMG120;ARAÇUAÍ-GUANHÃES-ITABIRA-VIÇOSA-UBÁ-CATAGUASES-LEOPOLDINA-DIV MG/RJ;;489,5;499,0
DM-003/2023;Obra 1;47;CMG120;ARAÇUAÍ-GUANHÃES-ITABIRA-VIÇOSA-UBÁ-CATAGUASES-LEOPOLDINA-DIV MG/RJ;;499,0;499,5
DM-003/2023;Obra 1;48;CMG120;ARAÇUAÍ-GUANHÃES-ITABIRA-VIÇOSA-UBÁ-CATAGUASES-LEOPOLDINA-DIV MG/RJ;;499,5;500,8
DM-003/2023;Obra 1;49;CMG120;ARAÇUAÍ-GUANHÃES-ITABIRA-VIÇOSA-UBÁ-CATAGUASES-LEOPOLDINA-DIV MG/RJ;;500,8;506,3
DM-003/2023;Obra 1;50;CMG120;ARAÇUAÍ-GUANHÃES-ITABIRA-VIÇOSA-UBÁ-CATAGUASES-LEOPOLDINA-DIV MG/RJ;;506,3;507,5
DM-003/2023;Obra 1;51;CMG120;ARAÇUAÍ-GUANHÃES-ITABIRA-VIÇOSA-UBÁ-CATAGUASES-LEOPOLDINA-DIV MG/RJ;;507,5;526,7
DM-003/2023;Obra 1;52;CMG120;ARAÇUAÍ-GUANHÃES-ITABIRA-VIÇOSA-UBÁ-CATAGUASES-LEOPOLDINA-DIV MG/RJ;;526,7;531,3
DM-003/2023;Obra 1;53;LINK  ;LINKS PARA ROTEIRIZAÇÃO - MAPA INTERATIVO ;;0,0;19,6
DM-003/2023;Obra 1;54;LINK  ;LINKS PARA ROTEIRIZAÇÃO - MAPA INTERATIVO ;;0,0;14,9
DM-003/2023;Obra 1;55;LMG758;ENTR MGC259-ENTR P/AÇUCENA-BELO ORIENTE-ENTR BR381;;0,0;1,0
DM-003/2023;Obra 1;56;LMG758;ENTR MGC259-ENTR P/AÇUCENA-BELO ORIENTE-ENTR BR381;;1,0;15,1
DM-003/2023;Obra 1;57;LMG758;ENTR MGC259-ENTR P/AÇUCENA-BELO ORIENTE-ENTR BR381;;15,1;16,2
DM-003/2023;Obra 1;58;LMG758;ENTR MGC259-ENTR P/AÇUCENA-BELO ORIENTE-ENTR BR381;;16,2;39,6
DM-003/2023;Obra 1;59;LMG758;ENTR MGC259-ENTR P/AÇUCENA-BELO ORIENTE-ENTR BR381;;39,6;41,8
DM-003/2023;Obra 1;60;LMG758;ENTR MGC259-ENTR P/AÇUCENA-BELO ORIENTE-ENTR BR381;;41,8;64,4
DM-003/2023;Obra 1;61;LMG758;ENTR MGC259-ENTR P/AÇUCENA-BELO ORIENTE-ENTR BR381;;64,4;79,3
DM-003/2023;Obra 1;62;LMG759;ENTR MG329 (BOM JESUS DO GALHO) / ENTR BR458;;0,0;16,1
DM-003/2023;Obra 1;63;LMG759;ENTR MG329 (BOM JESUS DO GALHO) / ENTR BR458;;16,1;32,2
DM-003/2023;Obra 1;64;LMG759;ENTR MG329 (BOM JESUS DO GALHO) / ENTR BR458;;32,2;68,4
DM-003/2023;Obra 1;65;LMG760;ENTR MG425 (CAVA GRANDE)-ENTR MG320 (SÃO JOSÉ GOIABAL);;0,0;18,7
DM-003/2023;Obra 1;66;LMG760;ENTR MG425 (CAVA GRANDE)-ENTR MG320 (SÃO JOSÉ GOIABAL);;18,7;19,7
DM-003/2023;Obra 1;67;LMG760;ENTR MG425 (CAVA GRANDE)-ENTR MG320 (SÃO JOSÉ GOIABAL);;19,7;28,6
DM-003/2023;Obra 1;68;LMG760;ENTR MG425 (CAVA GRANDE)-ENTR MG320 (SÃO JOSÉ GOIABAL);;28,6;51,6
DM-003/2023;Obra 1;69;LMG789;ENTR BR381 (NAQUE)-ENTR LMG758 (P/BELO ORIENTE);;0,0;1,1
DM-003/2023;Obra 1;70;LMG789;ENTR BR381 (NAQUE)-ENTR LMG758 (P/BELO ORIENTE);;1,1;12,2
DM-003/2023;Obra 1;71;LMG789;ENTR BR381 (NAQUE)-ENTR LMG758 (P/BELO ORIENTE);;12,2;13,5
DM-003/2023;Obra 1;72;LMG789;ENTR BR381 (NAQUE)-ENTR LMG758 (P/BELO ORIENTE);;13,5;23,3
DM-003/2023;Obra 1;73;LMG820;ENTR BR262-SÃO DOMINGOS DO PRATA-DIONÍSIO;;0,0;9,2
DM-003/2023;Obra 1;74;LMG820;ENTR BR262-SÃO DOMINGOS DO PRATA-DIONÍSIO;;9,2;10,2
DM-003/2023;Obra 1;75;LMG820;ENTR BR262-SÃO DOMINGOS DO PRATA-DIONÍSIO;;12,7;36,8
DM-003/2023;Obra 1;76;LMG820;ENTR BR262-SÃO DOMINGOS DO PRATA-DIONÍSIO;;36,8;41,6
DM-003/2023;Obra 1;77;LMG823;ENTR BR116 (INHAPIM)-SÃO DOMINGOS DAS DORES-SÃO SEBASTIÃO DO ANTA;;0,0;1,7
DM-003/2023;Obra 1;78;LMG823;ENTR BR116 (INHAPIM)-SÃO DOMINGOS DAS DORES-SÃO SEBASTIÃO DO ANTA;;1,7;15,7
DM-003/2023;Obra 1;79;LMG823;ENTR BR116 (INHAPIM)-SÃO DOMINGOS DAS DORES-SÃO SEBASTIÃO DO ANTA;;15,7;17,4
DM-003/2023;Obra 1;80;LMG823;ENTR BR116 (INHAPIM)-SÃO DOMINGOS DAS DORES-SÃO SEBASTIÃO DO ANTA;;17,4;22,7
DM-003/2023;Obra 1;81;MG108 ;BR458-POCRANE-MUTUM-LAJINHA-MANHUMIRIM;;0,0;100,9
DM-003/2023;Obra 1;82;MG123 ;JOÃO MONLEVADE-ALVINÓPOLIS-DOM SILVÉRIO;;0,0;10,5
DM-003/2023;Obra 1;83;MG123 ;JOÃO MONLEVADE-ALVINÓPOLIS-DOM SILVÉRIO;;10,5;11,9
DM-003/2023;Obra 1;84;MG123 ;JOÃO MONLEVADE-ALVINÓPOLIS-DOM SILVÉRIO;;11,9;26,4
DM-003/2023;Obra 1;85;MG123 ;JOÃO MONLEVADE-ALVINÓPOLIS-DOM SILVÉRIO;;26,4;35,4
DM-003/2023;Obra 1;86;MG123 ;JOÃO MONLEVADE-ALVINÓPOLIS-DOM SILVÉRIO;;35,4;42,7
DM-003/2023;Obra 1;87;MG123 ;JOÃO MONLEVADE-ALVINÓPOLIS-DOM SILVÉRIO;;42,7;45,8
DM-003/2023;Obra 1;88;MG123 ;JOÃO MONLEVADE-ALVINÓPOLIS-DOM SILVÉRIO;;45,8;55,2
DM-003/2023;Obra 1;89;MG232 ;MG010-MORRO DO PILAR-CARMÉSIA-DORES DE GUANHÃES-JOANÉSIA-BR381(IPATINGA);;0,0;6,8
DM-003/2023;Obra 1;90;MG232 ;MG010-MORRO DO PILAR-CARMÉSIA-DORES DE GUANHÃES-JOANÉSIA-BR381(IPATINGA);;6,8;14,1
DM-003/2023;Obra 1;91;MG232 ;MG010-MORRO DO PILAR-CARMÉSIA-DORES DE GUANHÃES-JOANÉSIA-BR381(IPATINGA);;14,1;15,0
DM-003/2023;Obra 1;92;MG232 ;MG010-MORRO DO PILAR-CARMÉSIA-DORES DE GUANHÃES-JOANÉSIA-BR381(IPATINGA);;15,0;35,2
DM-003/2023;Obra 1;93;MG232 ;MG010-MORRO DO PILAR-CARMÉSIA-DORES DE GUANHÃES-JOANÉSIA-BR381(IPATINGA);;35,2;37,8
DM-003/2023;Obra 1;94;MG232 ;MG010-MORRO DO PILAR-CARMÉSIA-DORES DE GUANHÃES-JOANÉSIA-BR381(IPATINGA);;37,8;51,4
DM-003/2023;Obra 1;95;MG232 ;MG010-MORRO DO PILAR-CARMÉSIA-DORES DE GUANHÃES-JOANÉSIA-BR381(IPATINGA);;51,4;52,4
DM-003/2023;Obra 1;96;MG232 ;MG010-MORRO DO PILAR-CARMÉSIA-DORES DE GUANHÃES-JOANÉSIA-BR381(IPATINGA);;52,4;64,7
DM-003/2023;Obra 1;97;MG232 ;MG010-MORRO DO PILAR-CARMÉSIA-DORES DE GUANHÃES-JOANÉSIA-BR381(IPATINGA);;64,7;77,6
DM-003/2023;Obra 1;98;MG320 ;BR381 (CORONEL FABRICIANO)-MARLIÉRIA-BR262;;0,0;5,7
DM-003/2023;Obra 1;99;MG320 ;BR381 (CORONEL FABRICIANO)-MARLIÉRIA-BR262;;5,7;6,6
DM-003/2023;Obra 1;100;MG320 ;BR381 (CORONEL FABRICIANO)-MARLIÉRIA-BR262;;6,6;13,0
DM-003/2023;Obra 1;101;MG320 ;BR381 (CORONEL FABRICIANO)-MARLIÉRIA-BR262;;13,0;14,8
DM-003/2023;Obra 1;102;MG320 ;BR381 (CORONEL FABRICIANO)-MARLIÉRIA-BR262;;14,8;38,4
DM-003/2023;Obra 1;103;MG320 ;BR381 (CORONEL FABRICIANO)-MARLIÉRIA-BR262;;38,4;51,9
DM-003/2023;Obra 1;104;MG320 ;BR381 (CORONEL FABRICIANO)-MARLIÉRIA-BR262;;51,9;54,1
DM-003/2023;Obra 1;105;MG320 ;BR381 (CORONEL FABRICIANO)-MARLIÉRIA-BR262;;54,1;66,0
DM-003/2023;Obra 1;106;MG329 ;PONTE NOVA-RIO CASCA-RAUL SOARES-BR116 (CARATINGA);;0,0;25,1
DM-003/2023;Obra 1;107;MG425 ;BR381-TIMÓTEO-VARGEM ALEGRE-BR116;;0,0;9,2
DM-003/2023;Obra 1;108;MG425 ;BR381-TIMÓTEO-VARGEM ALEGRE-BR116;;9,2;18,0
DM-003/2023;Obra 1;109;MG425 ;BR381-TIMÓTEO-VARGEM ALEGRE-BR116;;34,6;56,2
